event_id,Campeonato,Time Casa,Time Visitante,Gols Casa,Gols Visitante,Status,Data e Hora,Time Referência,Num Gols,Cartões Amarelos,Cartões Vermelhos
13193958,Paulista Série A1,Palmeiras,São Paulo,0.0,0.0,Ended,2025-02-16 21:30:00,Palmeiras,0,0,0
13193967,Paulista Série A1,Palmeiras,Botafogo-SP,3.0,1.0,Ended,2025-02-20 22:30:00,Palmeiras,4,0,0
13193974,Paulista Série A1,Mirassol,Palmeiras,2.0,3.0,Ended,2025-02-23 21:30:00,Palmeiras,5,0,0
13529163,Paulista Série A1 - Playoffs,São Bernardo,Palmeiras,0.0,3.0,Ended,2025-03-01 23:30:00,Palmeiras,3,0,0
13566692,Paulista Série A1 - Playoffs,Palmeiras,São Paulo,1.0,0.0,Ended,2025-03-11 00:35:00,Palmeiras,1,0,0
13592553,Paulista Série A1 - Playoffs,Palmeiras,Corinthians,0.0,1.0,Ended,2025-03-16 21:30:00,Palmeiras,1,0,0
13592556,Paulista Série A1 - Playoffs,Corinthians,Palmeiras,0.0,0.0,Ended,2025-03-28 00:35:00,Palmeiras,0,0,0
13473340,Brasileirão Betano,Palmeiras,Botafogo,0.0,0.0,Ended,2025-03-30 19:00:00,Palmeiras,0,0,0
13640293,"CONMEBOL Libertadores, Group G",Club Sporting Cristal,Palmeiras,2.0,3.0,Ended,2025-04-03 22:00:00,Palmeiras,5,0,0
13473357,Brasileirão Betano,Sport Recife,Palmeiras,1.0,2.0,Ended,2025-04-06 21:30:00,Palmeiras,3,0,0
13640306,"CONMEBOL Libertadores, Group G",Palmeiras,Cerro Porteño,1.0,0.0,Ended,2025-04-10 00:30:00,Palmeiras,1,0,0
13473360,Brasileirão Betano,Palmeiras,Corinthians,2.0,0.0,Ended,2025-04-12 21:30:00,Palmeiras,2,0,0
13473374,Brasileirão Betano,Internacional,Palmeiras,0.0,1.0,Ended,2025-04-16 22:30:00,Palmeiras,1,0,0
13473386,Brasileirão Betano,Fortaleza,Palmeiras,1.0,2.0,Ended,2025-04-20 21:30:00,Palmeiras,3,0,0
